160,100,10,100,1500,-1,0.999979,0,554
170,100,10,100,1500,-1,0.999991,0,580
180,100,10,100,1500,-1,0.99999,0,598
190,100,10,100,1500,-1,0.999986,0,627
200,100,10,100,1500,-1,0.999996,0,651
10,50,10,100,1500,-1,0.059016,0,2
10,50,10,100,1500,-1,0.059724,0,2
10,50,10,100,1500,-1,0.059712,0,2
1000,50,10,100,1500,-1,0.999999,0,481
100,50,10,100,1500,-1,0.601851,0,3
1000,50,10,100,1500,-1,0.999997,0,480
10,50,10,100,1500,-1,0.058908,0,2
1000,50,10,100,1500,-1,0.999999,0,487
10000,50,10,100,1500,-1,1,0,611
10000,50,10,100,1500,-1,1,0,580
10,50,10,100,1500,-1,0.059784,0,2
10,50,10,100,1500,-1,0.059712,0,1
